,Name,Date,Open,High,Low,Close,Adj Close,Volume,5-day Avg,7-day Avg,Signal
177,Fin Nifty,2023-03-17,17577.050781,17728.849609,17386.199219,17671.400391,17671.400391,1207000.0,17767.239843800002,17909.98549114286,
178,Fin Nifty,2023-03-20,17665.800781,17665.800781,17379.949219,17549.75,17549.75,1019400.0,17684.6,17798.571428571428,
179,Fin Nifty,2023-03-21,17660.300781,17830.349609,17593.699219,17806.800781,17806.800781,1176000.0,17707.139843599998,17761.76422985714,Sell
180,Fin Nifty,2023-03-22,17869.400391,17895.5,17783.25,17863.449219,17863.449219,0.0,17736.9898436,17735.54994414286,Buy
181,Fin Nifty,2023-03-23,17790.699219,17967.050781,17716.25,17746.550781,17746.550781,969300.0,17817.510156,17771.178571285716,
182,Fin Nifty,2023-03-24,17688.650391,17788.449219,17579.949219,17623.400391,17623.400391,959900.0,17829.430077999998,17777.207031142858,
183,Fin Nifty,2023-03-27,17659.800781,17727.949219,17555.5,17616.050781,17616.050781,969100.0,17841.8597656,17800.564174,
184,Fin Nifty,2023-03-28,17668.449219,17698.25,17589.150391,17664.449219,17664.449219,1052300.0,17815.4398438,17796.192801285713,
185,Fin Nifty,2023-03-29,17702.949219,17856.400391,17693.949219,17793.849609,17793.849609,1331600.0,17807.619922,17823.421317,Sell
186,Fin Nifty,2023-03-31,17924.150391,18090.25,17903.699219,18058.699219,18058.699219,1203600.0,17832.259765799998,17860.549944285714,
187,Fin Nifty,2023-04-03,18096.650391,18185.150391,18041.75,18164.75,18164.75,1107600.0,17911.6000002,17901.92857157143,Buy
188,Fin Nifty,2023-04-05,18221.25,18390.400391,18197.599609,18372.150391,18372.150391,1107400.0,18044.0902346,17962.407087285712,
189,Fin Nifty,2023-04-06,18345.650391,18510.550781,18303.800781,18462.150391,18462.150391,1822700.0,18206.550390800003,18065.564453285715,
190,Fin Nifty,2023-04-10,18487.400391,18493.349609,18348.199219,18390.699219,18390.699219,1404300.0,18333.9402344,18174.90736614286,
191,Fin Nifty,2023-04-11,18518.699219,18606.900391,18447.400391,18588.550781,18588.550781,1654300.0,18437.2703126,18304.714564857142,
192,Fin Nifty,2023-04-12,18618.449219,18726.75,18587.050781,18702.050781,18702.050781,1092000.0,18545.5902344,18429.050223285714,
193,Fin Nifty,2023-04-13,18718.900391,18878.300781,18661.900391,18854.300781,18854.300781,1478600.0,18643.170312399998,18541.628906285714,
194,Fin Nifty,2023-04-17,19103.5,19103.5,18665.050781,18827.25,18827.25,1485500.0,18761.760156199998,18672.821707571427,
195,Fin Nifty,2023-04-18,18890.0,18896.400391,18718.349609,18764.599609,18764.599609,1348000.0,18842.3703126,18745.10742185714,
196,Fin Nifty,2023-04-19,18783.349609,18794.449219,18704.199219,18768.650391,18768.650391,1113500.0,18879.8800782,18785.664341571428,
197,Fin Nifty,2023-04-20,18793.5,18851.349609,18733.75,18790.300781,18790.300781,1033500.0,18904.8,18836.807198714287,
